,DATE,Unemployment,Hurricane,Hurricane Date,Location,Delta
174,2004-07-01,6.5,Rita,2005-09-18,Houston Area,-1
175,2004-08-01,6.1,Rita,2005-09-18,Houston Area,-1
176,2004-09-01,6.0,Rita,2005-09-18,Houston Area,-1
177,2004-10-01,5.9,Rita,2005-09-18,Houston Area,0
178,2004-11-01,6.0,Rita,2005-09-18,Houston Area,0
179,2004-12-01,5.8,Rita,2005-09-18,Houston Area,0
180,2005-01-01,6.1,Rita,2005-09-18,Houston Area,0
181,2005-02-01,6.0,Rita,2005-09-18,Houston Area,0
182,2005-03-01,5.6,Rita,2005-09-18,Houston Area,0
183,2005-04-01,5.3,Rita,2005-09-18,Houston Area,0
184,2005-05-01,5.4,Rita,2005-09-18,Houston Area,0
185,2005-06-01,5.7,Rita,2005-09-18,Houston Area,0
186,2005-07-01,5.6,Rita,2005-09-18,Houston Area,0
187,2005-08-01,5.4,Rita,2005-09-18,Houston Area,0
188,2005-09-01,6.4,Rita,2005-09-18,Houston Area,0
189,2005-10-01,5.9,Rita,2005-09-18,Houston Area,0
190,2005-11-01,6.2,Rita,2005-09-18,Houston Area,0
191,2005-12-01,5.6,Rita,2005-09-18,Houston Area,0
192,2006-01-01,5.9,Rita,2005-09-18,Houston Area,0
193,2006-02-01,5.9,Rita,2005-09-18,Houston Area,0
194,2006-03-01,5.3,Rita,2005-09-18,Houston Area,0
195,2006-04-01,5.2,Rita,2005-09-18,Houston Area,0
196,2006-05-01,5.1,Rita,2005-09-18,Houston Area,0
197,2006-06-01,5.6,Rita,2005-09-18,Houston Area,0
198,2006-07-01,5.5,Rita,2005-09-18,Houston Area,0
199,2006-08-01,5.1,Rita,2005-09-18,Houston Area,0
200,2006-09-01,4.9,Rita,2005-09-18,Houston Area,0
201,2006-10-01,4.4,Rita,2005-09-18,Houston Area,1
202,2006-11-01,4.5,Rita,2005-09-18,Houston Area,1
203,2006-12-01,4.1,Rita,2005-09-18,Houston Area,1
204,2007-01-01,4.7,Rita,2005-09-18,Houston Area,1
205,2007-02-01,4.6,Rita,2005-09-18,Houston Area,1
206,2007-03-01,4.2,Rita,2005-09-18,Houston Area,1
207,2007-04-01,4.0,Rita,2005-09-18,Houston Area,1
208,2007-05-01,4.0,Rita,2005-09-18,Houston Area,1
209,2007-06-01,4.5,Rita,2005-09-18,Houston Area,1
210,2007-07-01,4.6,Rita,2005-09-18,Houston Area,1
211,2007-08-01,4.3,Rita,2005-09-18,Houston Area,1
212,2007-09-01,4.4,Rita,2005-09-18,Houston Area,1
213,2007-10-01,4.0,Rita,2005-09-18,Houston Area,2
214,2007-11-01,4.2,Rita,2005-09-18,Houston Area,2
215,2007-12-01,4.3,Rita,2005-09-18,Houston Area,2
216,2008-01-01,4.6,Rita,2005-09-18,Houston Area,2
217,2008-02-01,4.2,Rita,2005-09-18,Houston Area,2
218,2008-03-01,4.2,Rita,2005-09-18,Houston Area,2
219,2008-04-01,3.8,Rita,2005-09-18,Houston Area,2
220,2008-05-01,4.3,Rita,2005-09-18,Houston Area,2
221,2008-06-01,4.9,Rita,2005-09-18,Houston Area,2
222,2008-07-01,5.0,Rita,2005-09-18,Houston Area,2
223,2008-08-01,5.1,Rita,2005-09-18,Houston Area,2
224,2008-09-01,5.1,Rita,2005-09-18,Houston Area,2
225,2008-10-01,5.1,Rita,2005-09-18,Houston Area,3
226,2008-11-01,5.2,Rita,2005-09-18,Houston Area,3
227,2008-12-01,5.3,Rita,2005-09-18,Houston Area,3
228,2009-01-01,6.1,Rita,2005-09-18,Houston Area,3
229,2009-02-01,6.2,Rita,2005-09-18,Houston Area,3
230,2009-03-01,6.3,Rita,2005-09-18,Houston Area,3
231,2009-04-01,6.0,Rita,2005-09-18,Houston Area,3
232,2009-05-01,7.2,Rita,2005-09-18,Houston Area,3
233,2009-06-01,8.3,Rita,2005-09-18,Houston Area,3
234,2009-07-01,8.6,Rita,2005-09-18,Houston Area,3
235,2009-08-01,8.5,Rita,2005-09-18,Houston Area,3
236,2009-09-01,8.5,Rita,2005-09-18,Houston Area,3
237,2009-10-01,8.3,Rita,2005-09-18,Houston Area,4
238,2009-11-01,8.2,Rita,2005-09-18,Houston Area,4
239,2009-12-01,8.2,Rita,2005-09-18,Houston Area,4
240,2010-01-01,8.7,Rita,2005-09-18,Houston Area,4
241,2010-02-01,8.5,Rita,2005-09-18,Houston Area,4
242,2010-03-01,8.5,Rita,2005-09-18,Houston Area,4
243,2010-04-01,8.1,Rita,2005-09-18,Houston Area,4
244,2010-05-01,8.1,Rita,2005-09-18,Houston Area,4
245,2010-06-01,8.5,Rita,2005-09-18,Houston Area,4
246,2010-07-01,8.6,Rita,2005-09-18,Houston Area,4
247,2010-08-01,8.4,Rita,2005-09-18,Houston Area,4
248,2010-09-01,8.2,Rita,2005-09-18,Houston Area,4
249,2010-10-01,8.1,Rita,2005-09-18,Houston Area,5
250,2010-11-01,8.4,Rita,2005-09-18,Houston Area,5
251,2010-12-01,8.1,Rita,2005-09-18,Houston Area,5
252,2011-01-01,8.6,Rita,2005-09-18,Houston Area,5
253,2011-02-01,8.3,Rita,2005-09-18,Houston Area,5
254,2011-03-01,8.2,Rita,2005-09-18,Houston Area,5
255,2011-04-01,7.9,Rita,2005-09-18,Houston Area,5
256,2011-05-01,8.1,Rita,2005-09-18,Houston Area,5
257,2011-06-01,8.8,Rita,2005-09-18,Houston Area,5
258,2011-07-01,8.8,Rita,2005-09-18,Houston Area,5
259,2011-08-01,8.4,Rita,2005-09-18,Houston Area,5
260,2011-09-01,8.2,Rita,2005-09-18,Houston Area,5
261,2011-10-01,7.6,Rita,2005-09-18,Houston Area,6
262,2011-11-01,7.2,Rita,2005-09-18,Houston Area,6
263,2011-12-01,7.0,Rita,2005-09-18,Houston Area,6
264,2012-01-01,7.3,Rita,2005-09-18,Houston Area,6
265,2012-02-01,7.1,Rita,2005-09-18,Houston Area,6
266,2012-03-01,6.6,Rita,2005-09-18,Houston Area,6
267,2012-04-01,6.2,Rita,2005-09-18,Houston Area,6
268,2012-05-01,6.6,Rita,2005-09-18,Houston Area,6
269,2012-06-01,7.2,Rita,2005-09-18,Houston Area,6
270,2012-07-01,7.1,Rita,2005-09-18,Houston Area,6
271,2012-08-01,6.7,Rita,2005-09-18,Houston Area,6
272,2012-09-01,6.3,Rita,2005-09-18,Houston Area,6
273,2012-10-01,6.1,Rita,2005-09-18,Houston Area,7
274,2012-11-01,5.9,Rita,2005-09-18,Houston Area,7
275,2012-12-01,6.1,Rita,2005-09-18,Houston Area,7
276,2013-01-01,6.8,Rita,2005-09-18,Houston Area,7
277,2013-02-01,6.4,Rita,2005-09-18,Houston Area,7
278,2013-03-01,6.1,Rita,2005-09-18,Houston Area,7
279,2013-04-01,5.8,Rita,2005-09-18,Houston Area,7
280,2013-05-01,6.1,Rita,2005-09-18,Houston Area,7
281,2013-06-01,6.6,Rita,2005-09-18,Houston Area,7
282,2013-07-01,6.5,Rita,2005-09-18,Houston Area,7
283,2013-08-01,6.2,Rita,2005-09-18,Houston Area,7
284,2013-09-01,6.1,Rita,2005-09-18,Houston Area,7
285,2013-10-01,5.8,Rita,2005-09-18,Houston Area,8
286,2013-11-01,5.6,Rita,2005-09-18,Houston Area,8
287,2013-12-01,5.3,Rita,2005-09-18,Houston Area,8
288,2014-01-01,5.6,Rita,2005-09-18,Houston Area,8
289,2014-02-01,5.6,Rita,2005-09-18,Houston Area,8
290,2014-03-01,5.3,Rita,2005-09-18,Houston Area,8
291,2014-04-01,4.7,Rita,2005-09-18,Houston Area,8
292,2014-05-01,5.0,Rita,2005-09-18,Houston Area,8
293,2014-06-01,5.4,Rita,2005-09-18,Houston Area,8
294,2014-07-01,5.5,Rita,2005-09-18,Houston Area,8
295,2014-08-01,5.3,Rita,2005-09-18,Houston Area,8
296,2014-09-01,4.9,Rita,2005-09-18,Houston Area,8
297,2014-10-01,4.6,Rita,2005-09-18,Houston Area,9
298,2014-11-01,4.5,Rita,2005-09-18,Houston Area,9
299,2014-12-01,4.2,Rita,2005-09-18,Houston Area,9
300,2015-01-01,4.7,Rita,2005-09-18,Houston Area,9
301,2015-02-01,4.5,Rita,2005-09-18,Houston Area,9
302,2015-03-01,4.4,Rita,2005-09-18,Houston Area,9
303,2015-04-01,4.2,Rita,2005-09-18,Houston Area,9
304,2015-05-01,4.4,Rita,2005-09-18,Houston Area,9
305,2015-06-01,4.9,Rita,2005-09-18,Houston Area,9
306,2015-07-01,5.0,Rita,2005-09-18,Houston Area,9
307,2015-08-01,4.9,Rita,2005-09-18,Houston Area,9
308,2015-09-01,4.8,Rita,2005-09-18,Houston Area,9
309,2015-10-01,4.8,Rita,2005-09-18,Houston Area,10
310,2015-11-01,4.9,Rita,2005-09-18,Houston Area,10
311,2015-12-01,4.6,Rita,2005-09-18,Houston Area,10
312,2016-01-01,5.0,Rita,2005-09-18,Houston Area,10
313,2016-02-01,4.9,Rita,2005-09-18,Houston Area,10
314,2016-03-01,5.1,Rita,2005-09-18,Houston Area,10
315,2016-04-01,4.9,Rita,2005-09-18,Houston Area,10
316,2016-05-01,4.9,Rita,2005-09-18,Houston Area,10
317,2016-06-01,5.7,Rita,2005-09-18,Houston Area,10
318,2016-07-01,5.8,Rita,2005-09-18,Houston Area,10
319,2016-08-01,5.8,Rita,2005-09-18,Houston Area,10
320,2016-09-01,5.8,Rita,2005-09-18,Houston Area,10
321,2016-10-01,5.4,Rita,2005-09-18,Houston Area,11
322,2016-11-01,5.3,Rita,2005-09-18,Houston Area,11
323,2016-12-01,5.4,Rita,2005-09-18,Houston Area,11
324,2017-01-01,5.9,Rita,2005-09-18,Houston Area,11
325,2017-02-01,5.8,Rita,2005-09-18,Houston Area,11
326,2017-03-01,5.3,Rita,2005-09-18,Houston Area,11
327,2017-04-01,5.0,Rita,2005-09-18,Houston Area,11
328,2017-05-01,4.9,Rita,2005-09-18,Houston Area,11
329,2017-06-01,5.3,Rita,2005-09-18,Houston Area,11
330,2017-07-01,5.1,Rita,2005-09-18,Houston Area,11
331,2017-08-01,5.3,Rita,2005-09-18,Houston Area,11
332,2017-09-01,5.0,Rita,2005-09-18,Houston Area,11
333,2017-10-01,4.5,Rita,2005-09-18,Houston Area,12
334,2017-11-01,4.6,Rita,2005-09-18,Houston Area,12
335,2017-12-01,4.6,Rita,2005-09-18,Houston Area,12
336,2018-01-01,5.1,Rita,2005-09-18,Houston Area,12
337,2018-02-01,4.9,Rita,2005-09-18,Houston Area,12
338,2018-03-01,4.6,Rita,2005-09-18,Houston Area,12
339,2018-04-01,4.3,Rita,2005-09-18,Houston Area,12
340,2018-05-01,4.2,Rita,2005-09-18,Houston Area,12
341,2018-06-01,4.8,Rita,2005-09-18,Houston Area,12
342,2018-07-01,4.6,Rita,2005-09-18,Houston Area,12
343,2018-08-01,4.5,Rita,2005-09-18,Houston Area,12
344,2018-09-01,4.3,Rita,2005-09-18,Houston Area,12
345,2018-10-01,3.9,Rita,2005-09-18,Houston Area,13
346,2018-11-01,3.9,Rita,2005-09-18,Houston Area,13
347,2018-12-01,4.1,Rita,2005-09-18,Houston Area,13
348,2019-01-01,4.5,Rita,2005-09-18,Houston Area,13
349,2019-02-01,4.1,Rita,2005-09-18,Houston Area,13
350,2019-03-01,3.8,Rita,2005-09-18,Houston Area,13
351,2019-04-01,3.4,Rita,2005-09-18,Houston Area,13
352,2019-05-01,3.4,Rita,2005-09-18,Houston Area,13
353,2019-06-01,4.1,Rita,2005-09-18,Houston Area,13
354,2019-07-01,4.1,Rita,2005-09-18,Houston Area,13
355,2019-08-01,4.1,Rita,2005-09-18,Houston Area,13
356,2019-09-01,3.7,Rita,2005-09-18,Houston Area,13
357,2019-10-01,3.6,Rita,2005-09-18,Houston Area,14
358,2019-11-01,3.7,Rita,2005-09-18,Houston Area,14
359,2019-12-01,3.6,Rita,2005-09-18,Houston Area,14
360,2020-01-01,4.1,Rita,2005-09-18,Houston Area,14
361,2020-02-01,3.9,Rita,2005-09-18,Houston Area,14
362,2020-03-01,5.6,Rita,2005-09-18,Houston Area,14
363,2020-04-01,14.5,Rita,2005-09-18,Houston Area,14
364,2020-05-01,13.5,Rita,2005-09-18,Houston Area,14
365,2020-06-01,12.1,Rita,2005-09-18,Houston Area,14
366,2020-07-01,11.6,Rita,2005-09-18,Houston Area,14
367,2020-08-01,8.5,Rita,2005-09-18,Houston Area,14
368,2020-09-01,9.8,Rita,2005-09-18,Houston Area,14
369,2020-10-01,8.2,Rita,2005-09-18,Houston Area,15
370,2020-11-01,8.0,Rita,2005-09-18,Houston Area,15
371,2020-12-01,7.7,Rita,2005-09-18,Houston Area,15
372,2021-01-01,8.3,Rita,2005-09-18,Houston Area,15
373,2021-02-01,8.4,Rita,2005-09-18,Houston Area,15
374,2021-03-01,8.0,Rita,2005-09-18,Houston Area,15
375,2021-04-01,7.2,Rita,2005-09-18,Houston Area,15
376,2021-05-01,6.7,Rita,2005-09-18,Houston Area,15
377,2021-06-01,7.4,Rita,2005-09-18,Houston Area,15
378,2021-07-01,6.8,Rita,2005-09-18,Houston Area,15
379,2021-08-01,6.1,Rita,2005-09-18,Houston Area,15
380,2021-09-01,5.6,Rita,2005-09-18,Houston Area,15
381,2021-10-01,5.4,Rita,2005-09-18,Houston Area,16
382,2021-11-01,5.1,Rita,2005-09-18,Houston Area,16
383,2021-12-01,4.8,Rita,2005-09-18,Houston Area,16
